Problem ID,Problem,Short Answer,Category,Subcategory,Source
imo-bench-algebra-001,"For a given positive integer $N$, Henry writes the quotient of $ab$ divided by $N+1$ on the board for each integer pair $(a,b)$ where $1\le a,b\le N$. Find all $N$ such that the sum of the $N^2$ numbers Henry wrote on the board is $\frac{N^3-N^2+2}{4}$.
",3,Algebra,Operation,IMO Shortlist 2021
imo-bench-algebra-002,"Given a positive integer $a$, let $\pi:\{1,2,\ldots , a\}\to\{1,2,\ldots , a\}$ be a bijection. Find the minimum possible value of $\sum_{i=1}^{a}{\left\lfloor \frac{\pi(i)}{i} \right\rfloor}$.
",$\left\lfloor \log_{2}a\right\rfloor +1$.,Algebra,Inequality,IMO Shortlist 2021
imo-bench-algebra-003,"Find all functions $g:\mathbb{R}\rightarrow\mathbb{R}$ which is not a linear or constant function and satisfies

\[
4g\left(x^{2}y+y^{2}z+z^{2}x\right)-(g(y)-g(x))(g(z)-g(y))(g(x)-g(z))=4g\left(xy^{2}+yz^{2}+zx^{2}\right)
\]

for all real numbers $x,y,z$.
","$g(x)=2x^{3}+c, g(x)=-2x^{3}+c$ ",Algebra,Functional Equation,IMO Shortlist 2021
imo-bench-algebra-004,"Let $u \ge 2$ be a given positive integer. Find the smallest real number $C$ such that for all real numbers $t$, $\frac{t^{2^u}+1}{2} \le (C(t-1)^2+t)^{2^{u-1}}$.
",$2^{u-2}$,Algebra,Inequality,IMO Shortlist 2021
imo-bench-algebra-005,"$p, q, r, s$ are positive real numbers satisfying $(p+s)(r+q) = ps + qr$. Find the smallest possible value of

\[
\frac{p}{q} + \frac{r}{p} + \frac{s}{r} + \frac{q}{s}.
\]
",8,Algebra,Inequality,IMO Shortlist 2020
imo-bench-algebra-006,"Let $P$ be a function from the set of integers to itself such that for all integers $h, m$,
\[P^{h^2 + m^2}(h+m-1) = mP(m-1) + hP(h-1) + (h+m-1).\]
Find all possible functions $P$.
","$P(x)=-1, P(x)=x+1$",Algebra,Functional Equation,IMO Shortlist 2020
imo-bench-algebra-007,"Let $a_1, a_2, \ldots, a_{2026}$ satisfy $3^i < a_i < 3^{i+1}$ for each $i$. For each $1\le i\le 2025$, define
\[
A_i = \sum_{1\leqslant x\leqslant i+1}\prod_{y\neq x}\frac{a_{x}a_{y}-1}{a_{x}-a_{y}}.
\]
Find all possible values of $\sum_{i=1}^{2025} A_i^2$
",1012,Algebra,Equation,IMO Shortlist 2020
imo-bench-algebra-008,"Let $x_0, x_1, \ldots$ be a sequence of real numbers such that $x_0 = 0$, $x_1 = 1$, and for each integer $k \geq 2$, there exists an integer $1 \leq t \leq k$ such that
\[ x_k = \frac{x_{k-1} + \dots + x_{k-t}}{t}. \]
Find the minimum possible value of $x_{2024} - x_{2025}$.
",$-\frac{2023}{2024^2}$,Algebra,Sequence,IMO Shortlist 2019
imo-bench-algebra-009,"Find the maximal value of

\[
S=\sqrt[3]{\frac{x}{y+13}}+\sqrt[3]{\frac{y}{z+13}}+\sqrt[3]{\frac{z}{w+13}}+\sqrt[3]{\frac{w}{x+13}}
\]

where $x,y,z,w$ are nonnegative real numbers which satisfy $x+y+z+w=340$.
",$2\sqrt[3]{\frac{196}{13}}$,Algebra,Inequality,IMO Shortlist 2018
imo-bench-algebra-010,"A real number $r$ is given, and there is a blackboard with $100$ distinct real numbers written on it. Sharon has three pieces of paper and writes numbers on the sheets of paper by the following rule:

On the first piece of paper, Sharon writes down every number of the form $f-g$, where $f$ and $g$ are (not necessarily distinct) numbers on the blackboard. Then she writes down every number of the form $3pqr$, where $p$ and $q$ are two (not necessarily distinct) numbers from the first paper. Finally Sharon writes down every number of the form $x^2+y^2-z^2-w^{2}$, where $x,y,z,w$ are four (not necessarily distinct) numbers written on the first piece of paper.

Find all possible values of $r$ such that every number in the second paper also appears on the third piece of paper regardless of the numbers on the blackboard.
","$-\frac{2}{3},0,\frac{2}{3}$",Algebra,Operation,IMO Shortlist 2018
